,title,company,salary,location,summary
0,Full-Stack Developer,Sandee,"$110,000 - $140,000 a year","Los Angeles, CA 90049 (Brentwood area)",Bachelors in CS or related field with at least 4+ years of relevant experience.Preferably a Masters in CS or related field.3+ years leading engineering teams.
1,"Computer Vision Engineer, 3+ Years Experience, LA",Pictor Labs,"From $115,000 a year","Los Angeles, CA 90025 (Westwood area)","Spun off from UCLA Engineering and School of Medicine, Pictor Labs is a new LA-based AI start-up that develops innovative workflows in histopathology."
2,Software Engineer with Puppet and Python,CI Software,"$100,907 - $166,762 a year","Pasadena, CA 91101 (West Central area)","Able to quickly develop solid understanding of application configuration steps from documentation, software developer and tester inputs, as well as other…"
3,Sr. Python Developer,Aptonet Inc,"$130,000 - $160,000 a year","Los Angeles, CA 90101•Remote",100% Remote - Candidates must be based in the US (East Coast or Central time zones)*.The Software Engineer’s responsibilities include crafting and developing…
4,DevOps SOFTWARE Applications Developer Engineer,CI Software,"$133,000 - $175,655 a year","Pasadena, CA 91101 (West Central area)",Data System Software Application Developer (Mid-Level) - Full Performance high priority.Looking for a DevOps Engineer to support projects with NASA and the Jet…
5,Associate Software Engineer,Hulu,,"Santa Monica, CA","This team is responsible for the end-to-end technology needed to acquire, ingest, and normalize content from over 1500 partners and deliver the highest quality…"
6,Database Developer,Coaster Company of America,"$80,000 - $100,000 a year","Santa Fe Springs, CA 90670","Develop, setup and maintain ETL process on schedule against multiple databases.Design, implement and maintain data model for data warehouse."
7,Reports Developer with Python,Accenture,,"Norwalk, CA",Accenture Flex employees work in their local metro area onsite at the project significantly reducing and or eliminating the demands to travel.
8,"Software Engineer, University Grad",Facebook,,"Los Angeles, CA 90066 (Del Rey area)+1 location","This position is full-time and there are minimal travel requirements.Develop a strong understanding of relevant product area, codebase, and/or systems."
9,Senior Back End Python Developer,TitanX,"$100,000 - $200,000 a year","Los Angeles, CA","We focus on the development, marketing and deployment of high-quality conversational AI that people love interacting with.Job Types: Full-time, Contract."
10,new100% REMOTE Lead Python Developer,CyberCoders,"$170,000 - $225,000 a year","Los Angeles, CA 90034•Remote",Solid Python experience 6+ years.Smart Contracts on the chain experience 2 years.Experience developing APIs for consumption at scale.
11,Software Engineer - Infrastructure,GOAT,,"Los Angeles, CA","Improve our internal PaaS that allows teams to build, deploy, and operate their own applications.Design core infrastructure and platform components for a fast…"
12,newSoftware Development Engineer- Python,zenith,"$65,235 - $156,982 a year","Los Angeles, CA•Remote","As a Software Development Engineer, you will be building business critical platforms and services that allow this company to run applications reliably at scale…"
